focal.species,plot,subplot,treatment,neighbour.species,neighbour.abundance,notes
Arctotheca calendula,4,2,C,Crassula sp,1,
Arctotheca calendula,4,2,C,Pogonolepis muelleriana,9,
Arctotheca calendula,4,2,C,Velleia rosea,8,
Arctotheca calendula,4,3,C,Arctotheca calendula,14,
Arctotheca calendula,4,3,C,Goodenia pusilliflora,1,
Arctotheca calendula,4,3,C,Pogonolepis muelleriana,4,
Arctotheca calendula,4,3,C,unknown sp4 grass,1,GRASS sp. 2:04  31_8_2018
Arctotheca calendula,4,3,C,Velleia rosea,13,
Arctotheca calendula,5,1,C,Arctotheca calendula,6,
Arctotheca calendula,5,1,C,Calandrinia sp,19,
Arctotheca calendula,5,1,C,Pogonolepis muelleriana,8,
Arctotheca calendula,5,1,C,Ptilotus gaudichaudii,3,
Arctotheca calendula,5,1,C,Velleia rosea,3,
Arctotheca calendula,5,2,C,Arctotheca calendula,3,
Arctotheca calendula,5,2,C,Calandrinia sp,10,
Arctotheca calendula,5,2,C,Erodium cygnorum,1,
Arctotheca calendula,5,2,C,Pogonolepis muelleriana,7,
Arctotheca calendula,5,2,C,Ptilotus gaudichaudii,1,
Arctotheca calendula,5,2,C,Velleia rosea,6,
Arctotheca calendula,5,3,C,Arctotheca calendula,2,
Arctotheca calendula,5,3,C,Calandrinia sp,6,
Arctotheca calendula,5,3,C,Crassula sp,1,
Arctotheca calendula,5,3,C,Cuscuta campestris,1,on focal
Arctotheca calendula,5,3,C,Erodium cygnorum,1,
Arctotheca calendula,5,3,C,Pentameris airoides,6,
Arctotheca calendula,5,3,C,Pogonolepis muelleriana,2,
Arctotheca calendula,5,3,C,Ptilotus gaudichaudii,2,
Arctotheca calendula,6,1,C,Calandrinia sp,1,
Arctotheca calendula,6,1,C,Crassula sp,1,
Arctotheca calendula,6,1,C,Haloragis odontocarpa,1,
Arctotheca calendula,6,1,C,Nicotiana rotundifolia,2,
Arctotheca calendula,6,1,C,Podolepis canescens,2,
Arctotheca calendula,6,1,C,Trachymene ornata,3,
Arctotheca calendula,6,1,C,Waitzia acuminata,1,
Arctotheca calendula,6,2,C,NA,NA,
Arctotheca calendula,6,3,C,Arctotheca calendula,2,
Arctotheca calendula,6,3,C,Goodenia berardiana,1,
Arctotheca calendula,6,3,C,Trachymene ornata,3,
Arctotheca calendula,6,3,C,Velleia rosea,2,
Arctotheca calendula,6,3,C,Waitzia acuminata,2,
Arctotheca calendula,7,1,C,Arctotheca calendula,4,
Arctotheca calendula,7,1,C,Calandrinia sp,3,
Arctotheca calendula,7,1,C,Crassula sp,12,
Arctotheca calendula,7,1,C,Goodenia pusilliflora,1,
Arctotheca calendula,7,1,C,Plantago debilis,11,
Arctotheca calendula,7,1,C,Podolepis canescens,3,
Arctotheca calendula,7,1,C,Pogonolepis muelleriana,44,
Arctotheca calendula,7,1,C,Trachymene cyanopetala,6,
Arctotheca calendula,7,1,C,Velleia rosea,2,
Arctotheca calendula,7,1,C,Waitzia acuminata,4,
Arctotheca calendula,7,2,C,Arctotheca calendula,6,
Arctotheca calendula,7,2,C,Calandrinia sp,3,
Arctotheca calendula,7,2,C,Calotis hispidula,3,
Arctotheca calendula,7,2,C,Ceratogyne obionoides,2,
Arctotheca calendula,7,2,C,Chthonocephalus pseudevax,4,
Arctotheca calendula,7,2,C,Crassula sp,11,
Arctotheca calendula,7,2,C,Erodium cygnorum,2,
Arctotheca calendula,7,2,C,Goodenia pusilliflora,2,
Arctotheca calendula,7,2,C,Hyalosperma glutinosum,1,
Arctotheca calendula,7,2,C,Pogonolepis muelleriana,7,
Arctotheca calendula,7,2,C,Trachymene cyanopetala,1,
Arctotheca calendula,7,3,C,Arctotheca calendula,4,
Arctotheca calendula,7,3,C,Calandrinia sp,7,
Arctotheca calendula,7,3,C,Chthonocephalus pseudevax,11,
Arctotheca calendula,7,3,C,Crassula sp,20,
Arctotheca calendula,7,3,C,Goodenia pusilliflora,1,
Arctotheca calendula,7,3,C,Plantago debilis,4,
Arctotheca calendula,7,3,C,Podolepis canescens,2,
Arctotheca calendula,7,3,C,Pogonolepis muelleriana,23,
Arctotheca calendula,7,3,C,Trachymene cyanopetala,5,
Arctotheca calendula,7,3,C,Waitzia acuminata,2,
Arctotheca calendula,8,1,C,Arctotheca calendula,3,
Arctotheca calendula,8,1,C,Podolepis canescens,2,
Arctotheca calendula,8,1,C,Pogonolepis muelleriana,1,
Arctotheca calendula,8,1,C,Velleia rosea,7,
Arctotheca calendula,8,2,C,Arctotheca calendula,2,
Arctotheca calendula,8,2,C,Crassula sp,3,
Arctotheca calendula,8,2,C,Pentameris airoides,1,
Arctotheca calendula,8,2,C,Podolepis canescens,7,
Arctotheca calendula,8,2,C,Pogonolepis muelleriana,4,
Arctotheca calendula,8,2,C,Ptilotus gaudichaudii,1,
Arctotheca calendula,8,2,C,Velleia rosea,4,
Arctotheca calendula,8,3,C,Arctotheca calendula,2,
Arctotheca calendula,8,3,C,Monoculus monstrosus,1,
Arctotheca calendula,8,3,C,Pentameris airoides,7,
Arctotheca calendula,8,3,C,Podolepis canescens,2,
Arctotheca calendula,8,3,C,Pogonolepis muelleriana,6,
Arctotheca calendula,8,3,C,Ptilotus gaudichaudii,2,
Arctotheca calendula,8,3,C,Velleia rosea,1,
Arctotheca calendula,9,1,C,Calotis hispidula,3,
Arctotheca calendula,9,1,C,Crassula sp,2,
Arctotheca calendula,9,1,C,Erodium cygnorum,1,
Arctotheca calendula,9,1,C,Pentameris airoides,1,
Arctotheca calendula,9,1,C,Podolepis canescens,1,
Arctotheca calendula,9,1,C,Pogonolepis muelleriana,17,
Arctotheca calendula,9,1,C,Ptilotus gaudichaudii,15,
Arctotheca calendula,9,1,C,Velleia rosea,12,
Arctotheca calendula,9,2,C,Calotis hispidula,3,
Arctotheca calendula,9,2,C,Pentameris airoides,1,
Arctotheca calendula,9,2,C,Pogonolepis muelleriana,13,
Arctotheca calendula,9,2,C,Ptilotus gaudichaudii,11,
Arctotheca calendula,9,2,C,unknown sp4 grass,1,GRASS sp. 2:04  31_8_2018
Arctotheca calendula,9,2,C,Velleia rosea,2,
Arctotheca calendula,9,3,C,Calotis hispidula,1,
Arctotheca calendula,9,3,C,Goodenia pusilliflora,2,
Arctotheca calendula,9,3,C,Pogonolepis muelleriana,18,
Arctotheca calendula,9,3,C,Ptilotus gaudichaudii,1,
Arctotheca calendula,10,1,C,Arctotheca calendula,1,
Arctotheca calendula,10,1,C,Crassula sp,1,
Arctotheca calendula,10,1,C,Pentameris airoides,1,
Arctotheca calendula,10,1,C,Podolepis canescens,1,
Arctotheca calendula,10,1,C,Pogonolepis muelleriana,9,
Arctotheca calendula,10,1,C,Ptilotus gaudichaudii,10,
Arctotheca calendula,10,1,C,Velleia rosea,7,
Arctotheca calendula,10,2,C,Arctotheca calendula,2,
Arctotheca calendula,10,2,C,Crassula sp,1,
Arctotheca calendula,10,2,C,Pentameris airoides,1,
Arctotheca calendula,10,2,C,Pogonolepis muelleriana,5,
Arctotheca calendula,10,2,C,Ptilotus gaudichaudii,13,
Arctotheca calendula,10,2,C,Trachymene cyanopetala,2,
Arctotheca calendula,10,3,C,Arctotheca calendula,1,
Arctotheca calendula,10,3,C,Podolepis canescens,1,
Arctotheca calendula,10,3,C,Pogonolepis muelleriana,13,
Arctotheca calendula,10,3,C,Ptilotus gaudichaudii,3,
Arctotheca calendula,10,3,C,Velleia rosea,14,
Arctotheca calendula,11,1,C,Arctotheca calendula,1,
Arctotheca calendula,11,1,C,Calandrinia sp,1,
Arctotheca calendula,11,1,C,Erodium cygnorum,1,
Arctotheca calendula,11,1,C,Monoculus monstrosus,1,
Arctotheca calendula,11,1,C,Nicotiana rotundifolia,1,
Arctotheca calendula,11,1,C,unknown sp4 grass,1,GRASS sp. 2:04  31_8_2018
Arctotheca calendula,11,2,C,Arctotheca calendula,1,
Arctotheca calendula,11,2,C,Calandrinia sp,4,
Arctotheca calendula,11,2,C,Hypochaeris glabra,1,
Arctotheca calendula,11,2,C,unknown sp28,1,UNK. SPP. Curvy leaves 6/09/2018 2:00pm
Arctotheca calendula,11,2,C,unknown sp4 grass,1,GRASS sp. 2:04  31_8_2018
Arctotheca calendula,11,3,C,Arctotheca calendula,2,
Arctotheca calendula,11,3,C,Calandrinia sp,4,
Arctotheca calendula,11,3,C,Schoenus nanus,1,
Arctotheca calendula,12,1,C,Arctotheca calendula,2,
Arctotheca calendula,12,1,C,Calandrinia sp,8,
Arctotheca calendula,12,1,C,Calotis hispidula,1,
Arctotheca calendula,12,1,C,unknown sp17,9,SUCCULENT 10:21am
Arctotheca calendula,12,2,C,Arctotheca calendula,4,
Arctotheca calendula,12,2,C,Calandrinia sp,15,
Arctotheca calendula,12,2,C,unknown sp17,9,SUCCULENT 10:21am
Arctotheca calendula,12,3,C,Arctotheca calendula,4,
Arctotheca calendula,12,3,C,Calandrinia sp,15,
Arctotheca calendula,12,3,C,Lawrencella rosea,1,
Arctotheca calendula,12,3,C,unknown sp17,6,SUCCULENT 10:21am
Arctotheca calendula,12,3,C,unknown sp2,1,Arctotheca Look-a-like 10:25am 6_9_2018
Arctotheca calendula,13,1,C,Arctotheca calendula,3,
Arctotheca calendula,13,1,C,Calandrinia sp,24,
Arctotheca calendula,13,1,C,Crassula sp,11,
Arctotheca calendula,13,1,C,Goodenia pusilliflora,3,
Arctotheca calendula,13,1,C,Plantago debilis,1,
Arctotheca calendula,13,1,C,Podolepis canescens,2,
Arctotheca calendula,13,1,C,Pogonolepis muelleriana,42,
Arctotheca calendula,13,1,C,Waitzia acuminata,3,
Arctotheca calendula,13,2,C,Arctotheca calendula,1,
Arctotheca calendula,13,2,C,Calandrinia sp,5,
Arctotheca calendula,13,2,C,Calotis hispidula,2,
Arctotheca calendula,13,2,C,Crassula sp,2,
Arctotheca calendula,13,2,C,Pentameris airoides,1,
Arctotheca calendula,13,2,C,Podolepis canescens,1,
Arctotheca calendula,13,2,C,Pogonolepis muelleriana,28,
Arctotheca calendula,13,2,C,Waitzia acuminata,1,
Arctotheca calendula,13,3,C,Arctotheca calendula,1,
Arctotheca calendula,13,3,C,Calandrinia sp,7,
Arctotheca calendula,13,3,C,Erodium cygnorum,3,
Arctotheca calendula,13,3,C,Pogonolepis muelleriana,17,
Arctotheca calendula,13,3,C,Waitzia acuminata,1,
Arctotheca calendula,14,1,C,Cuscuta campestris,1,on focal
Arctotheca calendula,14,1,C,Nicotiana rotundifolia,1,
Arctotheca calendula,14,1,C,Schoenus nanus,1,
Arctotheca calendula,14,1,C,unknown sp33,4,Wooly Succulent 11:54am 1_9_2018
Arctotheca calendula,14,2,C,Calandrinia sp,2,
Arctotheca calendula,14,2,C,unknown sp33,7,Wooly Succulent 11:54am 1_9_2018
Arctotheca calendula,14,3,C,NA,NA,
Arctotheca calendula,15,1,C,Calandrinia sp,2,
Arctotheca calendula,15,1,C,Cuscuta campestris,1,on focal
Arctotheca calendula,15,1,C,Hypochaeris glabra,1,
Arctotheca calendula,15,1,C,Nicotiana rotundifolia,1,
Arctotheca calendula,15,1,C,Waitzia acuminata,1,
Arctotheca calendula,15,2,C,Calandrinia sp,1,
Arctotheca calendula,15,2,C,Hypochaeris glabra,1,
Arctotheca calendula,15,2,C,Nicotiana rotundifolia,1,
Arctotheca calendula,15,2,C,Rhodanthe laevis,2,
Arctotheca calendula,15,2,C,unknown sp8,1,LONG SKINNY VERTICAL BUD  11:30 am 3/9/18
Arctotheca calendula,15,3,C,Arctotheca calendula,2,
Arctotheca calendula,15,3,C,Calandrinia sp,3,
Arctotheca calendula,15,3,C,Cuscuta campestris,1,on focal
Arctotheca calendula,15,3,C,Hypochaeris glabra,2,
Arctotheca calendula,15,3,C,Waitzia acuminata,1,
Arctotheca calendula,16,1,C,Goodenia berardiana,1,
Arctotheca calendula,16,1,C,Schoenia cassiniana,1,
Arctotheca calendula,16,1,C,Trachymene ornata,2,
Arctotheca calendula,16,1,C,Velleia rosea,1,
Arctotheca calendula,16,1,C,Waitzia acuminata,1,
Arctotheca calendula,16,2,C,Goodenia berardiana,2,
Arctotheca calendula,16,2,C,Nicotiana rotundifolia,1,
Arctotheca calendula,16,2,C,Plantago debilis,1,
Arctotheca calendula,16,2,C,Podolepis lessonii,1,
Arctotheca calendula,16,2,C,Trachymene cyanopetala,1,
Arctotheca calendula,16,2,C,Trachymene ornata,2,
Arctotheca calendula,16,2,C,unknown sp33,1,Wooly Succulent 11:54am 1_9_2018
Arctotheca calendula,16,2,C,Waitzia acuminata,7,
Arctotheca calendula,16,3,C,NA,NA,
Daucus glochidiatus,1,1,C,Bulbine semibarbata,4,
Daucus glochidiatus,1,1,C,Calandrinia sp,11,
Daucus glochidiatus,1,1,C,Crassula sp,1,
Daucus glochidiatus,1,1,C,Erodium cygnorum,1,
Daucus glochidiatus,1,1,C,Goodenia berardiana,2,
Daucus glochidiatus,1,1,C,Nicotiana rotundifolia,4,
Daucus glochidiatus,1,1,C,Plantago debilis,2,
Daucus glochidiatus,1,1,C,unknown sp15,2,SHINY RED SUCCULENT 10:21am 6_12_18
Daucus glochidiatus,1,1,C,unknown sp33,1,Wooly Succulent 11:54am 1_9_2018
Daucus glochidiatus,1,2,C,Bulbine semibarbata,4,
Daucus glochidiatus,1,2,C,Calandrinia sp,8,
Daucus glochidiatus,1,2,C,Cuscuta campestris,1,on focal
Daucus glochidiatus,1,2,C,Daucus glochidiatus,5,
Daucus glochidiatus,1,2,C,Goodenia berardiana,2,
Daucus glochidiatus,1,2,C,Haloragis odontocarpa,2,
Daucus glochidiatus,1,2,C,Nicotiana rotundifolia,7,
Daucus glochidiatus,1,2,C,Plantago debilis,3,
Daucus glochidiatus,1,2,C,Ptilotus gaudichaudii,2,
Daucus glochidiatus,1,2,C,Trachymene ornata,1,
Daucus glochidiatus,1,2,C,Waitzia acuminata,1,
Daucus glochidiatus,1,3,C,Bulbine semibarbata,6,
Daucus glochidiatus,1,3,C,Calandrinia sp,4,
Daucus glochidiatus,1,3,C,Cuscuta campestris,1,on focal
Daucus glochidiatus,1,3,C,Daucus glochidiatus,1,
Daucus glochidiatus,1,3,C,Erodium cygnorum,1,
Daucus glochidiatus,1,3,C,Nicotiana rotundifolia,3,
Daucus glochidiatus,1,3,C,Plantago debilis,1,
Daucus glochidiatus,1,3,C,unknown sp33,1,Wooly Succulent 11:54am 1_9_2018
Daucus glochidiatus,2,1,C,Brachyscome Iberidifolia,4,
Daucus glochidiatus,2,1,C,Calandrinia sp,4,
Daucus glochidiatus,2,1,C,Crassula sp,13,
Daucus glochidiatus,2,1,C,Daucus glochidiatus,2,
Daucus glochidiatus,2,1,C,Erodium cygnorum,1,
Daucus glochidiatus,2,1,C,Goodenia berardiana,1,
Daucus glochidiatus,2,1,C,Lawrencella rosea,1,
Daucus glochidiatus,2,1,C,Medicago minima,5,
Daucus glochidiatus,2,1,C,Podolepis lessonii,4,
Daucus glochidiatus,2,1,C,Pogonolepis muelleriana,10,
Daucus glochidiatus,2,1,C,Ptilotus gaudichaudii,2,
Daucus glochidiatus,2,1,C,unknown sp8,1,LONG SKINNY VERTICAL BUD  11:30 am 3/9/18
Daucus glochidiatus,2,2,C,Brachyscome Iberidifolia,1,
Daucus glochidiatus,2,2,C,Daucus glochidiatus,2,
Daucus glochidiatus,2,2,C,Goodenia berardiana,1,
Daucus glochidiatus,2,2,C,Hydrocotyle pilifera,2,
Daucus glochidiatus,2,2,C,Lawrencella rosea,1,
Daucus glochidiatus,2,2,C,Medicago minima,23,
Daucus glochidiatus,2,2,C,Nicotiana rotundifolia,2,
Daucus glochidiatus,2,2,C,Pentameris airoides,2,
Daucus glochidiatus,2,2,C,Podolepis lessonii,1,
Daucus glochidiatus,2,2,C,Pogonolepis muelleriana,1,
Daucus glochidiatus,2,2,C,Ptilotus gaudichaudii,4,
Daucus glochidiatus,2,3,C,Brachyscome iberidifolia,2,
Daucus glochidiatus,2,3,C,Calandrinia sp,4,
Daucus glochidiatus,2,3,C,Medicago minima,14,
Daucus glochidiatus,2,3,C,Nicotiana rotundifolia,2,
Daucus glochidiatus,2,3,C,Podolepis lessonii,1,
Daucus glochidiatus,2,3,C,Ptilotus gaudichaudii,1,
Daucus glochidiatus,3,1,C,Cheilanthes austrotenuifolia,1,2%
Daucus glochidiatus,3,1,C,Nicotiana rotundifolia,1,
Daucus glochidiatus,3,1,C,unknown sp4 grass,7,GRASS sp. 2:04  31_8_2018
Daucus glochidiatus,3,1,C,Waitzia acuminata,4,
Daucus glochidiatus,3,2,C,Goodenia berardiana,4,
Daucus glochidiatus,3,2,C,Hydrocotyle pilifera,1,
Daucus glochidiatus,3,2,C,Podolepis lessonii,2,
Daucus glochidiatus,3,2,C,unknown sp3,1,FLAT FERN
Daucus glochidiatus,3,2,C,Waitzia acuminata,2,
Daucus glochidiatus,3,3,C,NA,NA,
Daucus glochidiatus,4,1,C,NA,NA,
Daucus glochidiatus,4,2,C,NA,NA,
Daucus glochidiatus,4,3,C,NA,NA,
Daucus glochidiatus,5,1,C,Daucus glochidiatus,5,
Daucus glochidiatus,5,2,C,Calandrinia sp,2,
Daucus glochidiatus,5,2,C,Crassula sp,1,
Daucus glochidiatus,5,2,C,Medicago minima,2,
Daucus glochidiatus,5,2,C,Pentameris airoides,6,
Daucus glochidiatus,5,2,C,Podolepis canescens,1,
Daucus glochidiatus,5,2,C,Podolepis lessonii,10,
Daucus glochidiatus,5,2,C,Podolepis lessonii,37,
Daucus glochidiatus,5,2,C,unknown sp3,1,FLAT FERN
Daucus glochidiatus,5,2,C,unknown sp8,9,LONG SKINNY VERTICAL BUD  11:30 am 3/9/18
Daucus glochidiatus,5,3,C,Crassula sp,3,
Daucus glochidiatus,5,3,C,Daucus glochidiatus,3,
Daucus glochidiatus,5,3,C,Erodium cygnorum,1,
Daucus glochidiatus,5,3,C,Goodenia berardiana,1,
Daucus glochidiatus,5,3,C,Medicago minima,2,
Daucus glochidiatus,5,3,C,Nicotiana rotundifolia,2,
Daucus glochidiatus,5,3,C,Pentameris airoides,7,
Daucus glochidiatus,5,3,C,Podolepis canescens,1,
Daucus glochidiatus,5,3,C,Podolepis lessonii,1,
Daucus glochidiatus,5,3,C,unknown sp3,1,FLAT FERN
Daucus glochidiatus,5,3,C,unknown sp8,2,LONG SKINNY VERTICAL BUD  11:30 am 3/9/18
Daucus glochidiatus,5,4,C,Goodenia berardiana,1,
Daucus glochidiatus,5,5,C,Medicago polymorpha,1,
Daucus glochidiatus,5,6,C,unknown sp8,1,LONG SKINNY VERTICAL BUD  11:30 am 3/9/18
Daucus glochidiatus,5,7,C,unknown sp3,1,FLAT FERN
Daucus glochidiatus,5,8,C,Pentameris airoides,15,
Daucus glochidiatus,5,9,C,Waitzia acuminata,2,
Daucus glochidiatus,6,1,C,Calandrinia sp,9,
Daucus glochidiatus,6,1,C,Calotis hispidula,1,
Daucus glochidiatus,6,1,C,Cuscuta campestris,1,on focal
Daucus glochidiatus,6,1,C,Daucus glochidiatus,1,
Daucus glochidiatus,6,1,C,Haloragis odontocarpa,2,
Daucus glochidiatus,6,1,C,Medicago polymorpha,5,
Daucus glochidiatus,6,1,C,Pentameris airoides,12,
Daucus glochidiatus,6,1,C,Podolepis canescens,2,
Daucus glochidiatus,6,1,C,Ptilotus gaudichaudii,5,
Daucus glochidiatus,6,2,C,Calandrinia sp,4,
Daucus glochidiatus,6,2,C,Calotis hispidula,2,
Daucus glochidiatus,6,2,C,Cuscuta campestris,0,not on focal
Daucus glochidiatus,6,2,C,Erodium cygnorum,1,
Daucus glochidiatus,6,2,C,Hyalosperma glutinosum,4,
Daucus glochidiatus,6,2,C,Medicago minima,5,
Daucus glochidiatus,6,2,C,Medicago polymorpha,3,
Daucus glochidiatus,6,2,C,Pentameris airoides,1,
Daucus glochidiatus,6,2,C,Plantago debilis,1,
Daucus glochidiatus,6,2,C,Podolepis canescens,2,
Daucus glochidiatus,6,2,C,Ptilotus gaudichaudii,5,
Daucus glochidiatus,6,2,C,Waitzia acuminata,2,
Daucus glochidiatus,6,3,C,Calandrinia sp,3,
Daucus glochidiatus,6,3,C,Crassula sp,1,
Daucus glochidiatus,6,3,C,Cuscuta campestris,1,on focal
Daucus glochidiatus,6,3,C,Daucus glochidiatus,3,
Daucus glochidiatus,6,3,C,Goodenia berardiana,3,
Daucus glochidiatus,6,3,C,Haloragis odontocarpa,2,
Daucus glochidiatus,6,3,C,Medicago minima,4,
Daucus glochidiatus,6,3,C,Pentameris airoides,4,
Daucus glochidiatus,6,3,C,Ptilotus gaudichaudii,6,
Daucus glochidiatus,6,3,C,Waitzia acuminata,2,
Daucus glochidiatus,7,1,C,NA,NA,
Daucus glochidiatus,7,2,C,NA,NA,
Daucus glochidiatus,7,3,C,NA,NA,
Daucus glochidiatus,8,1,C,Cuscuta campestris,0,not on focal
Daucus glochidiatus,8,1,C,Erodium cygnorum,1,
Daucus glochidiatus,8,1,C,Pentameris airoides,1,
Daucus glochidiatus,8,1,C,Plantago debilis,7,
Daucus glochidiatus,8,1,C,Podolepis canescens,1,
Daucus glochidiatus,8,1,C,Trachymene ornata,3,
Daucus glochidiatus,8,1,C,unknown sp25,2,UNK. SPP 3:26pm 9/9/18
Daucus glochidiatus,8,1,C,Waitzia acuminata,3,
Daucus glochidiatus,8,2,C,Arctotheca calendula,1,
Daucus glochidiatus,8,2,C,Brachyscome perpusilla,1,
Daucus glochidiatus,8,2,C,Haloragis odontocarpa,5,
Daucus glochidiatus,8,2,C,Pentameris airoides,4,
Daucus glochidiatus,8,2,C,Plantago debilis,21,
Daucus glochidiatus,8,2,C,Ptilotus gaudichaudii,2,
Daucus glochidiatus,8,2,C,Trachymene cyanopetala,4,
Daucus glochidiatus,8,2,C,Trachymene ornata,1,
Daucus glochidiatus,8,2,C,unknown sp14,1,RHODANTHE SPP.? 11.26/11.27 3/9/18
Daucus glochidiatus,8,2,C,unknown sp3,1,FLAT FERN
Daucus glochidiatus,8,2,C,unknown sp8,8,LONG SKINNY VERTICAL BUD  11:30 am 3/9/18
Daucus glochidiatus,8,3,C,Haloragis odontocarpa,4,
Daucus glochidiatus,8,3,C,Nicotiana rotundifolia,4,
Daucus glochidiatus,8,3,C,Pentameris airoides,2,
Daucus glochidiatus,8,3,C,Plantago debilis,12,
Daucus glochidiatus,8,3,C,Podolepis lessonii,2,
Daucus glochidiatus,8,3,C,Trachymene cyanopetala,5,
Daucus glochidiatus,8,3,C,Waitzia acuminata,1,
Daucus glochidiatus,9,1,C,Bulbine semibarbata,2,
Daucus glochidiatus,9,1,C,Calandrinia sp,15,
Daucus glochidiatus,9,1,C,Cheilanthes austrotenuifolia,1,10%
Daucus glochidiatus,9,1,C,Cuscuta campestris,1,on focal
Daucus glochidiatus,9,1,C,Daucus glochidiatus,4,
Daucus glochidiatus,9,1,C,Medicago minima,1,
Daucus glochidiatus,9,1,C,Pentameris airoides,2,
Daucus glochidiatus,9,1,C,Podolepis canescens,4,
Daucus glochidiatus,9,1,C,Ptilotus gaudichaudii,8,
Daucus glochidiatus,9,1,C,unknown sp3,1,FLAT FERN
Daucus glochidiatus,9,2,C,Bulbine semibarbata,1,
Daucus glochidiatus,9,2,C,Calandrinia sp,1,
Daucus glochidiatus,9,2,C,Daucus glochidiatus,2,
Daucus glochidiatus,9,2,C,Hydrocotyle pilifera,3,
Daucus glochidiatus,9,2,C,Medicago minima,1,
Daucus glochidiatus,9,2,C,Nicotiana rotundifolia,1,
Daucus glochidiatus,9,2,C,Podolepis canescens,1,
Daucus glochidiatus,9,2,C,Ptilotus gaudichaudii,3,
Daucus glochidiatus,9,2,C,unknown sp3,1,FLAT FERN
Daucus glochidiatus,9,3,C,Calandrinia sp,1,
Daucus glochidiatus,9,3,C,Cheilanthes austrotenuifolia,1,25%
Daucus glochidiatus,9,3,C,Medicago minima,3,
Daucus glochidiatus,9,3,C,Podolepis canescens,2,
Daucus glochidiatus,9,3,C,Ptilotus gaudichaudii,1,
Daucus glochidiatus,9,3,C,Waitzia acuminata,4,
Daucus glochidiatus,10,1,C,Calandrinia sp,2,
Daucus glochidiatus,10,1,C,Crassula sp,5,
Daucus glochidiatus,10,1,C,Podolepis canescens,16,
